iter	Passed	Remaining
409	4399	38523
410	4410	38511
411	4420	38499
412	4434	38510
413	4446	38515
414	4458	38518
415	4469	38507
416	4481	38505
417	4492	38500
418	4501	38468
419	4513	38470
420	4524	38467
421	4535	38455
422	4547	38453
423	4558	38445
424	4571	38453
425	4582	38445
426	4591	38421
427	4601	38400
428	4612	38393
429	4623	38387
430	4635	38382
431	4648	38390
432	4659	38381
433	4671	38386
434	4684	38389
435	4690	38343
436	4700	38327
437	4711	38314
438	4723	38314
439	4732	38287
440	4743	38279
441	4753	38267
442	4765	38266
443	4780	38286
444	4793	38295
445	4806	38298
446	4816	38287
447	4827	38278
448	4838	38266
449	4849	38256
450	4862	38263
451	4874	38262
452	4887	38266
453	4898	38262
454	4909	38249
455	4921	38252
456	4933	38246
457	4942	38225
458	4954	38220
459	4966	38222
460	4977	38213
461	4988	38201
462	4997	38175
463	5006	38156
464	5017	38145
465	5028	38134
466	5038	38120
467	5051	38125
468	5064	38130
469	5078	38139
470	5090	38139
471	5103	38147
472	5116	38148
473	5125	38130
474	5139	38142
475	5151	38140
476	5163	38139
477	5171	38107
478	5182	38096
479	5194	38093
480	5207	38097
481	5221	38113
482	5234	38114
483	5243	38088
484	5253	38076
485	5264	38062
486	5277	38066
487	5289	38068
488	5302	38070
489	5313	38060
490	5324	38049
491	5335	38041
492	5345	38026
493	5356	38015
494	5368	38013
495	5378	37995
496	5391	37999
497	5401	37980
498	5410	37960
499	5421	37953
500	5434	37957
501	5444	37940
502	5455	37925
503	5468	37929
504	5480	37930
505	5491	37922
506	5502	37909
507	5512	37895
508	5525	37895
509	5536	37885
510	5548	37885
511	5559	37871
512	5568	37847
513	5579	37841
514	5590	37834
515	5601	37822
516	5612	37811
517	5624	37810
518	5637	37813
519	5650	37812
520	5660	37798
521	5673	37803
522	5686	37804
523	5697	37794
524	5706	37773
525	5715	37750
526	5729	37756
527	5740	37745
528	5749	37723
529	5762	37728
530	5776	37739
531	5790	37744
532	5800	37732
533	5813	37731
534	5827	37742
535	5838	37733
536	5850	37731
537	5858	37700
538	5869	37689
539	5881	37685
540	5892	37675
541	5903	37666
542	5915	37660
543	5926	37653
544	5938	37644
545	5949	37638
546	5960	37627
547	5972	37621
548	5983	37612
549	5995	37606
550	6007	37606
551	6017	37590
552	6026	37564
553	6036	37550
554	6049	37547
555	6061	37547
556	6071	37529
557	6082	37521
558	6094	37513
559	6111	37540
